gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.004,1,7,4,10,36109.0,0.0,5744020,5466658,0
0.004,1,8,4,10,0.0,0.0,6321300,6080172,0
0.004,1,9,4,10,3990442.0,6031.0,6129493,1892181,0.001511361398060666
0.004,2,0,4,10,3146487.0,2006.6666666666665,5973235,2580029,0.0006377482782120716
0.004,2,1,4,10,3959426.0,0.0,6146533,1958349,0
0.004,2,2,4,10,3989188.0,3023.5,5983729,1753646,0.0007579236676737221
0.004,2,3,4,10,837819.0,0.0,5979057,4900029,0
0.004,2,4,4,10,0.0,0.0,6001725,5754461,0
0.004,2,5,4,10,3157961.0,0.0,5887651,2488616,0
0.004,2,6,4,10,3965807.0,0.0,5966419,1753619,0
0.004,2,7,4,10,831574.0,0.0,5713994,4635418,0
0.004,2,8,4,10,12099.0,3024.75,6399201,6140165,0.25
0.004,2,9,4,10,3994713.0,0.0,6055255,1831415,0
0.004,3,0,4,10,0.0,0.0,5940169,5693286,0
0.004,3,1,4,10,3990459.0,0.0,5876667,1651449,0
0.004,3,2,4,10,3976657.0,0.0,6025656,1808021,0
0.004,3,3,4,10,3994513.0,0.0,6242199,2012826,0
0.004,3,4,4,10,12066.0,3016.5,6007953,5754482,0.25
0.004,3,5,4,10,48156.0,0.0,6063304,5774016,0
0.004,3,6,4,10,3983177.0,0.0,5935855,1711772,0
0.004,3,7,4,10,3935175.0,4014.6666666666665,5735924,1553721,0.0010202002875772148
0.004,3,8,4,10,0.0,0.0,6261886,6014394,0
0.004,3,9,4,10,3971675.0,0.0,6033142,1820312,0
0.004,4,0,4,10,3984148.0,4019.666666666667,6099972,1880724,0.001008914996798981
0.004,4,1,4,10,3970677.0,0.0,6152275,1946848,0
0.004,4,2,4,10,3990256.0,0.0,6416993,2191886,0
0.004,4,3,4,10,0.0,0.0,6183435,5942393,0
0.004,4,4,4,10,0.0,0.0,6066999,5819795,0
0.004,4,5,4,10,3984724.0,0.0,5846506,1620755,0
0.004,4,6,4,10,3988896.0,0.0,5990175,1766110,0
0.004,4,7,4,10,0.0,0.0,6245712,6004393,0
0.004,4,8,4,10,0.0,0.0,5561973,5315048,0
0.004,4,9,4,10,3983666.0,0.0,5760786,1536170,0
0.004,5,0,4,10,1634452.0,4009.6666666666665,5811281,3929697,0.002453217755349601
0.004,5,1,4,10,3965196.0,0.0,5724292,1524075,0
0.004,5,2,4,10,3990086.0,0.0,6098941,1861697,0
0.004,5,3,4,10,2363178.0,0.0,5990790,3386717,0
0.004,5,4,4,10,24131.0,4518.25,6193804,5922467,0.18723840702830385
0.004,5,5,4,10,3622000.0,0.0,5990371,2133327,0
0.004,5,6,4,10,3990795.0,0.0,6129826,1897824,0
0.004,5,7,4,10,361299.0,0.0,5730999,5122771,0
0.004,5,8,4,10,0.0,0.0,5647459,5400086,0
0.004,5,9,4,10,3965432.0,0.0,5442665,1260095,0
0.004,6,0,4,10,1929065.0,0.0,6116771,3940615,0
0.004,6,1,4,10,3977831.0,0.0,6556894,2344100,0
0.004,6,2,4,10,3972003.0,0.0,6110901,1903869,0
0.004,6,3,4,10,2061013.0,0.0,5912518,3610364,0
0.004,6,4,4,10,0.0,0.0,5736814,5495889,0
0.004,6,5,4,10,2332218.0,2007.6666666666667,5863313,3283888,0.0008608400529738929
0.004,6,6,4,10,3989331.0,0.0,5808794,1602487,0
0.004,6,7,4,10,1688132.0,4025.0,6275282,4345647,0.0023842922235938896
0.004,6,8,4,10,18086.0,4512.75,6146734,5887355,0.24951620037598143
0.004,6,9,4,10,3989236.0,0.0,5821826,1609249,0
0.004,7,0,4,10,0.0,0.0,5978124,5737105,0
0.004,7,1,4,10,3990696.0,0.0,6166687,1934426,0
0.004,7,2,4,10,3978749.0,0.0,6431779,2205879,0
0.004,7,3,4,10,3989571.0,0.0,5983951,1759224,0
0.004,7,4,4,10,18083.0,3015.5,5725194,5466005,0.16675883426422608
0.004,7,5,4,10,60285.0,0.0,5755996,5448541,0
0.004,7,6,4,10,3989565.0,0.0,6231185,1994408,0
0.004,7,7,4,10,3917462.0,4042.0,5953600,1825606,0.0010317904806734564
0.004,7,8,4,10,0.0,0.0,6187519,5946666,0
0.004,7,9,4,10,3976468.0,0.0,5784771,1567460,0
0.004,8,0,4,10,3977623.0,8078.000000000001,6062378,1849575,0.0020308611449601937
0.004,8,1,4,10,3967140.0,0.0,6118889,1904530,0
0.004,8,2,4,10,3990042.0,0.0,6346730,2115696,0
0.004,8,3,4,10,0.0,0.0,6020539,5779168,0
0.004,8,4,4,10,0.0,0.0,5579461,5332381,0
0.004,8,5,4,10,3990531.0,0.0,6116625,1885043,0
0.004,8,6,4,10,3971780.0,0.0,6146833,1934112,0
0.004,8,7,4,10,0.0,0.0,6057137,5810156,0
0.004,8,8,4,10,12073.0,1509.75,6008597,5749765,0.1250517684088462
0.004,8,9,4,10,3983261.0,0.0,5610307,1404132,0
0.004,9,0,4,10,1988791.0,4004.333333333334,5640564,3404707,0.0020134510530937307
0.004,9,1,4,10,3972645.0,0.0,5835150,1651580,0
0.004,9,2,4,10,3982997.0,0.0,5935020,1717025,0
0.004,9,3,4,10,1989070.0,0.0,5948211,3718003,0
0.004,9,4,4,10,0.0,0.0,5778555,5537681,0
0.004,9,5,4,10,3982974.0,0.0,5784790,1572537,0
0.004,9,6,4,10,3977508.0,0.0,5810097,1597500,0
0.004,9,7,4,10,24155.0,6013.666666666667,6495944,6230743,0.2489615676533499
0.004,9,8,4,10,12146.0,1517.5,6214137,5955016,0.12493825127614029
0.004,9,9,4,10,3989985.0,0.0,6375500,2138130,0
0.004,10,0,4,10,3067535.0,6018.333333333333,5652390,2337547,0.001961944471157895
0.004,10,1,4,10,3958178.0,0.0,5843756,1644495,0
0.004,10,2,4,10,3972285.0,0.0,5985153,1789744,0
0.004,10,3,4,10,909904.0,0.0,6159011,5014138,0
0.004,10,4,4,10,0.0,0.0,6013806,5766612,0
0.004,10,5,4,10,3633723.0,2012.3333333333333,5864025,1989227,0.0005537938178923746
0.004,10,6,4,10,3990994.0,0.0,6220633,2006784,0
0.004,10,7,4,10,367870.0,4024.666666666667,5804838,5189740,0.010940459038972101
0.004,10,8,4,10,0.0,0.0,6170105,5923015,0
0.004,10,9,4,10,3983773.0,0.0,6153492,1922517,0
0.004,11,0,4,10,1175600.0,2018.0,5803485,4387082,0.0017165702619938755
0.004,11,1,4,10,3983398.0,0.0,5821895,1597259,0
0.004,11,2,4,10,3983439.0,0.0,5978149,1759434,0
0.004,11,3,4,10,2807995.0,0.0,5971670,2916515,0
0.004,11,4,4,10,0.0,0.0,5905135,5658083,0
0.004,11,5,4,10,3681650.0,0.0,6285040,2362065,0
0.004,11,6,4,10,3990216.0,0.0,6008063,1776660,0
0.004,11,7,4,10,295398.0,2019.3333333333333,6001894,5465518,0.006835974967106525
0.004,11,8,4,10,0.0,0.0,6110367,5863171,0
0.004,11,9,4,10,3990882.0,0.0,6129391,1909530,0
0.004,12,0,4,10,1790858.0,0.0,6165360,4134041,0
0.004,12,1,4,10,3982828.0,0.0,5876002,1645942,0
0.004,12,2,4,10,3972729.0,0.0,6246519,2032519,0
0.004,12,3,4,10,2187280.0,0.0,6104460,3675867,0
0.004,12,4,4,10,24088.0,9033.0,6207507,5935915,0.375
0.004,12,5,4,10,2084870.0,0.0,5857849,3531882,0
0.004,12,6,4,10,3979012.0,0.0,5967667,1753665,0
0.004,12,7,4,10,1904124.0,0.0,6013445,3868265,0
0.004,12,8,4,10,18061.0,6015.75,6340316,6075281,0.3330795637007918
0.004,12,9,4,10,3971475.0,0.0,5876588,1669972,0
0.004,13,0,4,10,548842.0,4010.666666666667,6100692,5310949,0.007307506835604175
0.004,13,1,4,10,3983488.0,0.0,5780158,1555524,0
0.004,13,2,4,10,3971511.0,0.0,6123132,1904441,0
0.004,13,3,4,10,3440857.0,0.0,5796850,2108956,0
0.004,13,4,4,10,12014.0,9017.5,5677074,5417910,0.750582653570834
0.004,13,5,4,10,1501178.0,0.0,5442819,3712752,0
0.004,13,6,4,10,3989265.0,0.0,6033299,1808537,0
0.004,13,7,4,10,2470731.0,0.0,6062833,3350809,0
0.004,13,8,4,10,0.0,0.0,5882188,5635026,0
0.004,13,9,4,10,3988628.0,0.0,6140938,1911397,0
0.004,14,0,4,10,0.0,0.0,6015537,5774450,0
0.004,14,1,4,10,3990791.0,3044.5,6093218,1861620,0.0007628813435732414
0.004,14,2,4,10,3977641.0,0.0,6075628,1875017,0
0.004,14,3,4,10,3977116.0,0.0,6134580,1922343,0
0.004,14,4,4,10,5996.0,5996.0,6364395,6117528,1.0
0.004,14,5,4,10,2108200.0,2003.3333333333333,6309565,3959983,0.0009502577238086203
0.004,14,6,4,10,3988035.0,0.0,6272231,2043046,0
0.004,14,7,4,10,1874539.0,2016.3333333333335,6474310,4352657,0.0010756422423504304
0.004,14,8,4,10,0.0,0.0,5796705,5549924,0
0.004,14,9,4,10,3989183.0,0.0,5929425,1698785,0
0.004,15,0,4,10,72432.0,2026.3333333333335,5960177,5640623,0.027975664531330536
0.004,15,1,4,10,3988207.0,3001.0,5819556,1596678,0.0007524684651523855
0.004,15,2,4,10,3979404.0,0.0,5944832,1724104,0
0.004,15,3,4,10,3916906.0,0.0,5803728,1669600,0
0.004,15,4,4,10,0.0,0.0,6173132,5925855,0
0.004,15,5,4,10,138688.0,0.0,5967259,5599270,0
0.004,15,6,4,10,3964648.0,0.0,5868915,1669421,0
0.004,15,7,4,10,3833453.0,0.0,5846011,1765279,0
0.004,15,8,4,10,18001.0,4500.25,6039463,5774083,0.25
0.004,15,9,4,10,3990510.0,0.0,5979362,1741714,0
0.004,16,0,4,10,3332968.0,6041.0,6206953,2633012,0.0018124986498520238
0.004,16,1,4,10,3966152.0,3012.0,6209143,2007703,0.0007594262650548945
0.004,16,2,4,10,3988780.0,0.0,6014028,1783995,0
0.004,16,3,4,10,656511.0,0.0,5904880,5001307,0
0.004,16,4,4,10,6013.0,1503.25,6045310,5792541,0.25
0.004,16,5,4,10,3375377.0,0.0,6196108,2591658,0
0.004,16,6,4,10,3989979.0,0.0,6177087,1946276,0
0.004,16,7,4,10,608751.0,0.0,6028537,5178663,0
0.004,16,8,4,10,0.0,0.0,6134997,5887710,0
0.004,16,9,4,10,3982936.0,0.0,6007751,1789721,0
0.004,17,0,4,10,12046.0,2002.0000000000002,5911372,5652364,0.16619624771708452
0.004,17,1,4,10,3978528.0,0.0,6124515,1905094,0
