gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.018,1,9,9,10,3007368.0,72367.0,3007368,0,0.02406323403055429
0.02,0,0,10,10,2760713.0,972748.3333333334,2772816,0,0.35235402351976947
0.02,0,1,10,10,2948032.0,614900.5,2948032,0,0.20857999506111197
0.02,0,2,10,10,3001805.0,518415.5,3001805,0,0.1727012580763907
0.02,0,3,10,10,3042980.0,606548.6666666666,3042980,0,0.19932719461405157
0.02,0,4,10,10,2952665.0,1624010.25,2952665,0,0.5500150711306565
0.02,0,5,10,10,3091727.0,556389.0,3091727,0,0.179960585135751
0.02,0,6,10,10,2918666.0,192826.00000000003,2924656,0,0.066066483797735
0.02,0,7,10,10,3139098.0,1104339.3333333333,3139098,0,0.35180148352594703
0.02,0,8,10,10,3085627.0,1751975.4999999998,3127915,0,0.5677858989437155
0.02,0,9,10,10,2838840.0,180785.0,2838840,0,0.06368270138507277
0.02,1,0,10,10,3038426.0,972642.3333333334,3038426,0,0.32011387913786066
0.02,1,1,10,10,2976209.0,499970.5,2982245,0,0.1679890424361999
0.02,1,2,10,10,3025830.0,530324.5,3025830,0,0.17526579483976298
0.02,1,3,10,10,3265052.0,614466.6666666666,3265052,0,0.18819506294744054
0.02,1,4,10,10,2970850.0,1628117.0,2976922,0,0.5480306982850026
0.02,1,5,10,10,3086623.0,602916.6666666666,3104695,0,0.19533213698811505
0.02,1,6,10,10,2861594.0,186658.0,2861594,0,0.06522868023905558
0.02,1,7,10,10,3151271.0,1092518.3333333333,3151271,0,0.3466913297311889
0.02,1,8,10,10,3236561.0,1731471.25,3236561,0,0.5349725372084753
0.02,1,9,10,10,2905415.0,216857.0,2905415,0,0.07463890700640012
0.023,0,0,11,10,2755074.0,1173615.0,2755074,0,0.42598311333924244
0.023,0,1,11,10,2952884.0,786354.5,2952884,0,0.26630050486236506
0.023,0,2,11,10,2808867.0,632557.0,2808867,0,0.22520005397193957
0.023,0,3,11,10,2747945.0,644848.0,2747945,0,0.2346655409769846
0.023,0,4,11,10,3156538.0,1991167.75,3162568,0,0.6308074700827299
0.023,0,5,11,10,3080196.0,747641.3333333333,3080196,0,0.24272524648864335
0.023,0,6,11,10,2706166.0,325335.0,2706166,0,0.12021989781853737
0.023,0,7,11,10,3079580.0,1219410.0,3079580,0,0.39596633307139284
0.023,0,8,11,10,2983481.0,1913436.25,2983481,0,0.6413435346161078
0.023,0,9,11,10,2843793.0,216987.0,2843793,0,0.07630196712629927
0.023,1,0,11,10,2771557.0,1179096.6666666667,2771557,0,0.42542753645935
0.023,1,1,11,10,3006100.0,722900.5,3006100,0,0.24047786168124813
0.023,1,2,11,10,3043161.0,804573.9999999999,3043161,0,0.2643875890891083
0.023,1,3,11,10,2959130.0,807358.3333333333,2959130,0,0.2728363854691525
0.023,1,4,11,10,2670273.0,1587041.25,2670273,0,0.5943367026517513
0.023,1,5,11,10,2922475.0,755195.0000000001,2922475,0,0.2584093961453905
0.023,1,6,11,10,2736155.0,264860.0,2736155,0,0.09680007163336872
0.023,1,7,11,10,2868596.0,1202964.0,2886757,0,0.4193563680629827
0.023,1,8,11,10,2893058.0,1788529.0,2893058,0,0.6182140143751007
0.023,1,9,11,10,2669261.0,307126.0,2669261,0,0.11506031070022751
0.025,0,0,12,10,2874343.0,1379971.0,2880350,0,0.48009962624502367
0.025,0,1,12,10,3091686.0,840569.0,3091686,0,0.2718804561653415
0.025,0,2,12,10,2784789.0,804688.0,2784789,0,0.2889583375975702
0.025,0,3,12,10,2942179.0,809770.6666666667,2942179,0,0.27522821237819545
0.025,0,4,12,10,2783881.0,1871075.75,2783881,0,0.6721105356155669
0.025,0,5,12,10,2904741.0,828016.0,2904741,0,0.2850567399985059
0.025,0,6,12,10,3042470.0,397757.99999999994,3042470,0,0.13073522499811008
0.025,0,7,12,10,2904959.0,1408355.0,2904959,0,0.4848106289968292
0.025,0,8,12,10,2983254.0,1919519.25,2983254,0,0.6434313839854066
0.025,0,9,12,10,2705704.0,385956.0,2705704,0,0.14264531523034302
0.025,1,0,12,10,3108342.0,1365702.3333333333,3120328,0,0.4393668178512317
